date,year,type,country,state,location,activity,sex,age,injury,time,species
19-Jul-2022,2022.0,Questionable,USA,Florida,Brevard County,,M,,Injured,10jh45,Not confirmed
19-Jul-2022,2022.0,Unprovoked,USA,Noirth Carolina,"Topsail Beach, Pender County",Surfing,F,,Injured,Early  morning,
17-Jul-2022,2022.0,Provoked,USA,Florida,"Content Keys, Monroe County",Fishing,M,,Injured,17h30,Lemon shark  6'
16-Jul-2022,2022.0,Unprovoked,USA,Florida,Volusia County,,F,40,Injured,13h12,"""A small shark"""
13-Jul-2022,2022.0,Unprovoked,USA,New York,"Seaview Beach, Suffolk County",,M,49,Injured,18h00,
13-Jul-2022,2022.0,Unprovoked,USA,New York,"Smith Point Beach, Suffolk County",Surfing,M,41,Injured,07h30,Tiger shark
10-Jul-2022,2022.0,Unprovoked,USA,Florida,Volusia County,Surfing,M,30s,Injured,,6' shark
07-Jul-2022,2022.0,Unprovoked,USA,New York,"Ocean Beach, Long Island",Lifeguard Training Exercise,M,17,Injured,11hoo,
04-Jul-2022,2022.0,Unprovoked,JAPAN,Okinawa,Nago,Snorkeling,M,60,Fatal,,
03-Jul-2022,2022.0,Unprovoked,USA,Florida,Volusia County,Surfing,M,28,Injured,11h43,
03-Jul-2022,2022.0,Unprovoked,USA,New York,"Smith Point Beach, Suffolk County",Lifeguard Exercises,M,,Injured,10h15,5'shark
01-Jul-2022,2022.0,Unprovoked,INDONESIA,Bali,Balian Beach,Surfing,F,,Injured,,
01-Jul-2022,2022.0,Unprovoked,EGYPT,"Hurghada, Red Sea Governorate",Sahl Hasheesh,Snorkeling,F,40s,Fatal,,White shark
01-Jul-2022,2022.0,Unprovoked,EGYPT,"Hurghada, Red Sea Governorate",Sahl Hasheesh,Swimming,F,68,Fatal,,White shark
30-Jun-2022,2022.0,Unprovoked,USA,New York,"Jones Beach, Nassau County",Swimming,M,,Injury to right foot,13h00,Not confirmed
